1,sepia,13583x5417,0.48601
1,blur,13583x5417,42.22138
1,swirl,13583x5417,6.33116
1,sepia,13583x5417,0.48373
1,blur,13583x5417,42.30215
1,swirl,13583x5417,6.36530
1,sepia,13583x5417,0.47611
1,blur,13583x5417,41.74742
1,swirl,13583x5417,6.33264
2,sepia,13583x5417,0.29965
2,blur,13583x5417,25.61979
2,swirl,13583x5417,3.61055
2,sepia,13583x5417,0.32437
2,blur,13583x5417,25.41879
2,swirl,13583x5417,3.60008
2,sepia,13583x5417,0.31764
2,blur,13583x5417,25.35359
2,swirl,13583x5417,3.59692
4,sepia,13583x5417,0.28518
4,blur,13583x5417,21.04613
4,swirl,13583x5417,2.35818
4,sepia,13583x5417,0.26620
4,blur,13583x5417,20.96933
4,swirl,13583x5417,2.37771
4,sepia,13583x5417,0.26267
4,blur,13583x5417,20.99093
4,swirl,13583x5417,2.35636
8,sepia,13583x5417,0.26345
8,blur,13583x5417,20.95988
8,swirl,13583x5417,2.28989
8,sepia,13583x5417,0.25546
8,blur,13583x5417,20.91528
8,swirl,13583x5417,2.32106
8,sepia,13583x5417,0.26249
8,blur,13583x5417,20.96961
8,swirl,13583x5417,2.29137
