1,sepia,1920x1080,0.01586
1,blur,1920x1080,2.44823
1,swirl,1920x1080,0.24308
1,sepia,1920x1080,0.01948
1,blur,1920x1080,1.41799
1,swirl,1920x1080,0.17969
1,sepia,1920x1080,0.01270
1,blur,1920x1080,1.19345
1,swirl,1920x1080,0.17704
2,sepia,1920x1080,0.00764
2,blur,1920x1080,0.72610
2,swirl,1920x1080,0.11065
2,sepia,1920x1080,0.00930
2,blur,1920x1080,0.75600
2,swirl,1920x1080,0.09639
2,sepia,1920x1080,0.00704
2,blur,1920x1080,0.72317
2,swirl,1920x1080,0.11107
4,sepia,1920x1080,0.00733
4,blur,1920x1080,0.58655
4,swirl,1920x1080,0.06553
4,sepia,1920x1080,0.00684
4,blur,1920x1080,0.58838
4,swirl,1920x1080,0.06547
4,sepia,1920x1080,0.00688
4,blur,1920x1080,0.58773
4,swirl,1920x1080,0.06616
8,sepia,1920x1080,0.00746
8,blur,1920x1080,0.58512
8,swirl,1920x1080,0.06541
8,sepia,1920x1080,0.00720
8,blur,1920x1080,0.58836
8,swirl,1920x1080,0.06821
8,sepia,1920x1080,0.00766
8,blur,1920x1080,0.59648
8,swirl,1920x1080,0.06367
